,chunkId,content,heading,originalLanguageChunk,StartPage,EndPage,originalLanguageHeading,ContentWordCount,pdfName,contentType,image,summary
| Annexure-III                                           | Action Plan for NFSM-Coarse Cereals                   | 77                                                  |
| (d)                                                    |                                                       |                                                     |
| Annexure-IV                                            | Quarterly/Annual Progress Report of NFSM-Rice         | 78                                                  |
| (a)                                                    |                                                       |                                                     |
| Annexure-IV                                            | 81                                                    |                                                     |
| (a-i)                                                  |                                                       |                                                     |
| Progress of component-wise SC/ST and women farmers     |                                                       |                                                     |
| being benefitted from NFSM-Rice                        |                                                       |                                                     |
| Annexure-IV                                            | Quarterly/Annual Progress Report of NFSM-Wheat        | 82                                                  |
| (b)                                                    |                                                       |                                                     |
| Annexure-IV                                            | 84                                                    |                                                     |
| (b-i)                                                  |                                                       |                                                     |
| Progress of component-wise SC/ST and women farmers     |                                                       |                                                     |
| being benefitted from NFSM-Wheat                       |                                                       |                                                     |
| Annexure-IV                                            | Quarterly/Annual Progress Report of NFSM-Pulses       | 85                                                  |
| (c)                                                    |                                                       |                                                     |
| Annexure-IV                                            | 89                                                    |                                                     |
| (c-i)                                                  |                                                       |                                                     |
| Progress of component-wise SC/ST and women farmers     |                                                       |                                                     |
| being benefitted from NFSM-Pulses                      |                                                       |                                                     |
| Annexure-IV                                            | 90                                                    |                                                     |
| (d)                                                    |                                                       |                                                     |
| Quarterly/Annual Progress Report of NFSM-Coarse        |                                                       |                                                     |
| Cereals                                                |                                                       |                                                     |
| Annexure-IV                                            | 91                                                    |                                                     |
| (d-i)                                                  |                                                       |                                                     |
| Progress of component-wise SC/ST and women farmers     |                                                       |                                                     |
| being benefitted from NFSM-Coarse Cereals              |                                                       |                                                     |
| Annexure-V                                             | Summary of Pattern of Assistance                      | 92                                                  |
| Annexure-VI                                            | Cafeteria  of Interventions for Cluster Demonstration | 106                                                 |
| 110                                                    | Annexure-VII                                          | Component-wise financial provision for promotion of |
| FPOs and marketing support for value chain integration |                                                       |                                                     |","Re-Vamped National Food Security Mission (Nfsm) Operational Guidelines (2018-19 To 2019-20),Table Of Contents",,,,,384,input/md/english/NFSM12102018.pdf,table,,"The document outlines the operational guidelines for the National Food Security Mission (NFSM) for the years 2018-19 to 2019-20. It covers various aspects such as the introduction, objectives, strategy, structure, and role of Panchayati Raj Institution. Mechanisms for fund flow, approval, implementation, monitoring, reporting, and evaluation are also detailed. Additionally, the document includes criteria for identifying areas and beneficiaries, ongoing schemes, interventions, and financial provisions for the promotion of FPOs and marketing support."
2,4,"| S.No.                                                          | Contents                                                | Page                                                     |
|----------------------------------------------------------------|---------------------------------------------------------|----------------------------------------------------------|
| No.                                                            |                                                         |                                                          |
| Part-II National Food Security Mission (NFSM) Commercial Crops |                                                         |                                                          |
| 1                                                              | Introduction                                            | 146                                                      |
| 2                                                              | Funding Pattern                                         | 147                                                      |
| 3                                                              | Implementing Agencies                                   | 147                                                      |
| 4                                                              | Role of Panchayati Raj Institution                      | 148                                                      |
| 5                                                              | Procedure for Approval and Implementation               | 148                                                      |
| 6                                                              | Monitoring Mechanism                                    | 149                                                      |
| 7                                                              | Evaluation                                              | 149                                                      |
| 8                                                              | Reporting                                               | 150                                                      |
| 9                                                              | Components of NFSM-Commercial Crops                     | 150                                                      |
| 10                                                             | Cotton based cropping system                            | 151                                                      |
| 10.1                                                           | Insecticide Resistance Management (IRM)                 | 151                                                      |
| 10.2                                                           | On Line Pest Monitoring and Advisory Services (OPMAS)   | 151                                                      |
| 10.3                                                           | Front Line Demonstration (FLD)                          | 152                                                      |
| 10.4                                                           | Trials on High Density Planting System (HDPS)           | 152                                                      |
| 10.5                                                           | National / State Level Training                         | 153                                                      |
| 10.6                                                           | Distribution of plant protection chemicals & bio-agents | 154                                                      |
| 11                                                             | Jute & Allied fibres Based Cropping Systems             | 155                                                      |
| 11.1                                                           | Jute seed production                                    | 155                                                      |
| 11.2                                                           | FLDs on alternate retting technologies                  | 156                                                      |
| 11.3                                                           | FLDs on production technology/intercropping             | 156                                                      |
| 11.4                                                           | National / State level training                         | 157                                                      |
| 157                                                            | 11.5                                                    | Distribution of certified seeds, nail weeder & microbial |
| consortium                                                     |                                                         |                                                          |
| 12                                                             | Surgancane Based Cropping System                        | 158                                                      |
| 158                                                            | 12.1                                                    | Demonstration on Intercropping & single bud chip         |
| technology with sugarcane                                      |                                                         |                                                          |
| 12.2                                                           | Assistance for breeder seed production                  | 158                                                      |
| 12.3                                                           | Tissue culture raised plantlets/seedlings               | 158                                                      |
| 12.4                                                           | National /State level training                          | 159                                                      |
| 12.5                                                           | Distribution of plant protection chemicals & bio-agents | 159                                                      |
| 160                                                            | Annexure-IX                                             | Commercial crop based cropping system linked with        |
| food crops                                                     |                                                         |                                                          |
| Annexure-X                                                     | Action Plan for NFSM-Cotton                             | 161                                                      |
| (a)                                                            |                                                         |                                                          |
| Annexure-X                                                     | Action Plan for NFSM-Jute & Allied Fibres               | 162                                                      |
| (b)                                                            |                                                         |                                                          |
| Annexure-X                                                     | Action Plan for NFSM-Sugarcane                          | 163                                                      |
| (c)                                                            |                                                         |                                                          |
| 164                                                          | Annexure-XI                                          |   Quarterly progress report of Insecticides Resistance  |
|--------------------------------------------------------------|------------------------------------------------------|---------------------------------------------------------|
| Management (IRM) under Cotton                                |                                                      |                                                         |
| Annexure-XII                                                 | Annual progress report of IRM under Cotton           |                                                    165  |
| Annexure-XIII Quarterly progress of OPMAS under Cotton       | 166                                                  |                                                         |
| Annexure-XIV Annual progress report of OPMAS under Cotton    | 167                                                  |                                                         |
| Annexure-XV                                                  | Quarterly/Annual Progress Report of NFSM-Cotton      |                                                    168  |
| Annexure-XVI Quarterly/Annual Progress Report of NFSM-Jute & | 169                                                  |                                                         |
| Allied Fibres                                                |                                                      |                                                         |
| Annexure-                                                    | Quarterly / Annual Progress Report of NFSM-Sugarcane |                                                    170  |
| XVII                                                         |                                                      |                                                         |
| Annexure-                                                    | 171                                                  |                                                         |
| XVIII                                                        |                                                      |                                                         |
| Components and Pattern of Assistance under NFSM-             |                                                      |                                                         |
| Commercial Crops                                             |                                                      |                                                         |
|                                                              |                                                      |                                                         |
|                                                              |                                                      |                                                         |","Re-Vamped National Food Security Mission (Nfsm) Operational Guidelines (2018-19 To 2019-20),Table Of Contents",,,,,311,input/md/english/NFSM12102018.pdf,table,,"The document contains the table of contents for the Re-Vamped National Food Security Mission (NFSM) Operational Guidelines for the years 2018-19 to 2019-20. It includes sections on the introduction, funding pattern, implementing agencies, role of Panchayati Raj Institution, procedure for approval and implementation, monitoring mechanism, evaluation, reporting, and components of NFSM-Commercial Crops. Additionally, it covers specific cropping systems such as cotton-based, jute & allied fibres-based, and sugarcane-based, along with their respective action plans and progress reports. The annexures provide details on quarterly and annual progress reports for various aspects of the NFSM, including insecticide resistance management and online pest monitoring."
3,5,"| S.No.                                                              | Contents                             | Page    |
|--------------------------------------------------------------------|--------------------------------------|---------|
| No.                                                                |                                      |         |
| Part - III National Food Security Mission (NFSM) Oilseeds & Oil    |                                      |         |
| Palm                                                               |                                      |         |
| 1                                                                  | Introduction                         | 175     |
| 2                                                                  | Objectives / Targets                 | 177     |
| 3                                                                  | Strategy                             | 177     |
| 4                                                                  | Structure                            | 178     |
| 4.1                                                                | National Level                       | 178     |
| 4.2                                                                | State Level                          | 179     |
| 4.3                                                                | District Level                       | 179     |
| 5                                                                  | Funding Pattern & Fund Flow          | 180     |
| 6                                                                  | Area of Operation                    | 183     |
| 7                                                                  | Monitoring, Reporting and Evaluation | 183     |
| 7.1                                                                | Monitoring or Evaluation             | 183     |
| 7.2                                                                | Reporting System                     | 184     |
| 7.3                                                                | Awards                               | 184     |
| 8                                                                  | Intervention                         | 185     |
| 8.1                                                                | NFSM-Oilseeds                        | 185     |
| 8.2                                                                | NFSM-Oil Palm                        | 198     |
| 8.3                                                                | NFSM-TBOs                            | 204     |
| Annexure-XIX Pattern of sharing and Rate of Assistance for various | 208                                  |         |
| interventions of NFSM-Oilseeds                                     |                                      |         |
| Annexure-XX  Format for submission of Annual Action Plan for NFSM  | 213                                  |         |
| (OS & OP))                                                         |                                      |         |
| Annexure-XXI  Format for submission of Monthly/Quarterly Progress  | 219                                  |         |
| Report (MRP/QRP) under NFSM-Oilseeds                               |                                      |         |
| Annexure-                                                          | 220                                  |         |
| XXII                                                               |                                      |         |
| Format for submission of Monthly/Quarterly Progress                |                                      |         |
| Report (MRP/QRP) of TRFA under NFSM-Oilseeds                       |                                      |         |
| Annexure-                                                          | 221                                  |         |
| XXIII                                                              |                                      |         |
| Pattern of sharing and Rate of Assistance for various              |                                      |         |
| interventions of NFSMM-Oil Palm w.e.f. 2018-19                     |                                      |         |
| Annexure-                                                          | 226                                  |         |
| XXIV                                                               |                                      |         |
| Pattern for submission of Annual Action Plan under                 |                                      |         |
| NFSM-Oil Palm                                                      |                                      |         |
| Annexure-                                                          | Format                               | for     |
| XXV                                                                | progress report NFSM-Oil Palm        |         |
| Annexure-                                                          | 231                                  |         |
| XXVI                                                               |                                      |         |
| Pattern of sharing and Rate of Assistance for various              |                                      |         |
| interventions of NFSM-TBOs w.e.f. 2018-19                          |                                      |         |
| Annexure-                                                          | 235                                  |         |
| XXVII                                                              |                                      |         |
| Format for submission of Annual Action Plan NFSM-                  |                                      |         |
| TBOs                                                               |                                      |         |
| Annexure-                                                          | 236                                  |         |
| XXVIII                                                             |                                      |         |
| Format for submission of monthly and quarterly                     |                                      |         |
| progress report NFSM-TBOs                                          |                                      |         |
|                                                                    |                                      |         |","Re-Vamped National Food Security Mission (Nfsm) Operational Guidelines (2018-19 To 2019-20),Table Of Contents",,,,,222,input/md/english/NFSM12102018.pdf,table,,"The document contains the table of contents for the National Food Security Mission (NFSM) Operational Guidelines for Oilseeds & Oil Palm. It includes sections on Introduction, Objectives/Targets, Strategy, Structure, Funding Pattern & Fund Flow, Area of Operation, Monitoring, Reporting and Evaluation, and Intervention. Additionally, it provides annexures for various aspects such as sharing and rate of assistance, format for submission of annual action plan, and monthly/quarterly progress report under NFSM. The annexures cover interventions for Oilseeds, Oil Palm, and TBOs, along with their respective submission formats and patterns of sharing and assistance."
4,6,"| S.No.                                                       | Contents               | Page                                                 |
|-------------------------------------------------------------|------------------------|------------------------------------------------------|
| No.                                                         |                        |                                                      |
| Part –IV National Food Security Mission (NFSM) Seed Village |                        |                                                      |
| Programme                                                   |                        |                                                      |
| 1                                                           | Seed Village Programme | 238                                                  |
| XXIX                                                        | Details                | of                                                   |
| available/allowed for Seed Village Programme under          |                        |                                                      |
| Sub-Mission on Seeds & Planting Material (SMSP)             |                        |                                                      |
| 240                                                         | XXX                    | The pattern of assistance available for Seed Village |
| Programme under Sub-Mission on Seeds & Planting             |                        |                                                      |
| Material (SMSP)                                             |                        |                                                      |","Re-Vamped National Food Security Mission (Nfsm) Operational Guidelines (2018-19 To 2019-20),Table Of Contents",,,,,55,input/md/english/NFSM12102018.pdf,table,,This section provides the table of contents for the Re-Vamped National Food Security Mission (NFSM) Operational Guidelines (2018-19 to 2019-20). It includes details about the Seed Village Programme under the Sub-Mission on Seeds & Planting Material (SMSP) and the pattern of assistance available for the program. The page numbers for specific sections are also listed.
5,6,ACPP  Accelerated Crop Production Programme  APR  Annual Progress Report  ATMA  Agricultural Technology Management Agency  CCI  Cotton Corporation of India  CDD  Crop Development Directorate  CIAE  Central Institute of Agricultural Engineering  CICR  Central Institute of Cotton Research  CRIJAF  Central Research Institute of Jute and Allied Fibers  CRRI  Central Rice Research Institute  CSC  Central Seeds Committee  CYMMIT  International Maize and Wheat Improvement Center  DAC  Department of Agriculture and Cooperation  DBT  Direct Benefit Transfer  DFSMEC  District Food Security Mission Executive Committee  DOCD  Directorate of Cotton Development  DOJD  Directorate of Jute Development  DOSD  Directorate of Sugarcane Development  DRR  Directorate of Rice Research  DWR  Directorate of Wheat Research  ELS  Extra Long Staple Cotton  FLDs  Front Line Demonstrations  FPO  Farmer Producer Organization  FFC  Fourteenth Finance Commission  GC  General Council  HDPS  High Density Planting Systems  HYV  High Yielding Variety  ICAR  Indian Council of Agricultural Research  ICDP  Integrated Cereal Development Programme  ICRISAT  International Crops Research Institute for the Semi - Arid Tropics  ICT  Information Communication Technology  INM  Integrated Nutrient Management  IIPR  Indian Institute of Pulses Research  IPM  Integrated Pest Management  IRM  Insecticide Resistance Management  INM  Integrated Nutrient Management  IPM  Integrated Pest Management  IRRI   International Rice Research Institute  IISR  Indian Institute of Sugarcane Research  IISS  Indian Institute of Soil Science  JTM  Jute Technology Mission  KVK  Krishi Vigyan Kendra  NABARD  National Bank for Agriculture and Rural Development  NAFED  National Agricultural Cooperative Marketing Federation of India Limited,"Re-Vamped National Food Security Mission (Nfsm) Operational Guidelines (2018-19 To 2019-20),Abbreviations",,,,,225,input/md/english/NFSM12102018.pdf,para,,"The abbreviations provided are related to various agricultural and research organizations and programs in India. These include institutions like the Indian Council of Agricultural Research (ICAR), International Rice Research Institute (IRRI), and National Bank for Agriculture and Rural Development (NABARD). Additionally, abbreviations for different programs such as Integrated Pest Management (IPM), High Yielding Variety (HYV), and Extra Long Staple Cotton (ELS) are also listed. The abbreviations cover a wide range of agricultural activities, from crop research and development to cooperative marketing and technology management. These abbreviations are crucial for understanding and communicating about the various entities and initiatives involved in the agricultural sector in India."
6,9,"| NALMOT    | National Level Monitoring Team                                   |
|-----------|------------------------------------------------------------------|
| NCIPM     | National Centre for Integrated Pest Management                   |
| NDC       | National Development Council                                     |
| NFSM      | National Food Security Mission                                   |
| NFSMEC    | National Food Security Mission Executive Committee               |
| NGO       | Non-Government Organizations                                     |
| NSC       | National Seeds Corporation                                       |
| NIRJAFT   | National Institute of Research on Jute & Allied Fiber Technology |
| OPMAS     | On Line Pest Monitoring and Advisory Services                    |
| PFMS      | Public Financial Management System                               |
| PMA       | Project Management Agency                                        |
| PMT       | Project Management Team                                          |
| QPR       | Quarterly Progress Report                                        |
| SAMETI    | State Agricultural Management and Extension Training Institute   |
