chunkId,content,heading,originalLanguageChunk,StartPage,EndPage,originalLanguageHeading,ContentWordCount,pdfName,contentType,image,summary
11,"The soils in this region are generally deep and loamy developed on alluvium soil. The dominant soil scapes,representing the northern plains, constitute gently to verygently sloping lands. In some area the soil is highly calcareous. The soils in general are neutral in reaction and have moderate clay and low organic carbon content. Traditionally rain fed and irrigated agriculture iscommon. The main crops grown are rice, maize, pigeonpea, sorghum, pearl millet, moong beans during *Kharif* and wheat, Bengal gram, green peas, rapeseed -mustard and lentil during *Rabi* season. Sugarcane is themain cash crop. Rice–wheat cropping system is most predominant. The major cropping systems of the region are rice-wheat, sugarcane/ratoonwheat, pearl millet-wheat, maize-wheat, rice-gram, rice-mustard, Fallowwheat, sorghum-wheat etc. Amongst the fruit crops, mango and guava,and amongst the vegetable crops potato, onion, brinjal, tomato, cauliflower and cabbage are important.",Important Soil Types And Crops,,,,,136,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
12,"The organic research programme was initiated during 2004-05 under 'Network Project on Organic Farming' centre at Modipurm, Uttar Pradesh under the aegis of ICAR- Indian Institute of Farming System Research, Modipuram. The results of the experiments conducted under the aforesaid programme are briefly explained here under-",Experimental Evidences,,,,,46,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
13,"An experiment as ""Studies on comparative efficiency of organic, chemical and integrated nutrient management practices on soil health and crop productivity under various cropping systems"" was conducted comprisingthree management practices *viz.,* 100% organic, 100% inorganic and integrated management withfour cropping systems *viz.*, basmati rice - wheat - *Sesbania* green manure (CS1), coarse rice– barley + mustard– mungbean(CS2), maize (grain) - potato– okra(CS3) and maize (green cobs) - mustard  + radish - *Sesbania* green manure(CS4).",1. Important Crops/Cropping Systems For Organic Farming,,,,,74,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
14,"The yield data of different crops after 8years under organic cultivation (Table 2) reveals that basmati rice,coarse rice and maize produced higher grain yield under organic supply of nutrients as compared to integrated and inorganic supply of nutrients. However, the highest yield of maize (cobs) was recorded under integrated supply of nutrients. Irrespective of crops, yield of *Rabi* crops like wheat, barley, mustard and potato was observed higher under integrated supply of nutrients followed by organic and inorganic supply of nutrients. In summer, application of organic sources of nutrients resulted into highest yield in mungbean and okra than to inorganic supply of nutrients.",1. Important Crops/Cropping Systems For Organic Farming,,,,,103,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
15,"| Nutrient management Economic yield of   | Economic yield of   | Economic yield of   |
|-----------------------------------------|---------------------|---------------------|
| kharif                                  |                     |                     |
| crops (q/ha)                            |                     |                     |
| rabi                                    |                     |                     |
| crops (q/ha)                            | summer crops (q/    |                     |
| ha)                                     |                     |                     |
| Basmati rice                            | Wheat               |                     |
| Organic                                 | 37.4                | 43.3                |
| Integrated                              | 35.7                | 46.8                |
| Inorganic                               | 28.9                | 33.4                |
| Coarse Rice                             | Barley + Mustard    | Mungbean            |
| Organic                                 | 44.7                | 28.3+3.95           |
| Integrated                              | 43.7                | 30.1+4.18           |
| Inorganic                               | 37.3                | 22.4+3.01           |
| Maize (grain)                           | Potato              | Okra                |
| Organic                                 | 50.4                | 223.2               |
| Integrated                              | 48.2                | 229.4               |
| Inorganic                               | 41.2                | 182.1               |
|                                         |                     |                     |
| Maize (cobs)                            | Mustard + Radish    |                     |
| Organic                                 | 92.2                | 7.11+146.2          |
| Integrated                              | 98.8                | 7.56+157.3          |
| Inorganic                               | 82.3                | 5.71+119.3          |",1. Important Crops/Cropping Systems For Organic Farming,,,,,76,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,table,,
16,"Source: Annual Report NPOF, Modipuram, 2012-13.Among cropping systems, maize (grain)-potato-okra system recorded maximum total productivity in terms of basmati rice equivalent yield (BREY)(317.0 q/ha) followed by maize (green cobs) - mustard + radish cropping system (109.7 q/ha). On mean basis, the integrated nutrient management produced noticeable higher BREY as compared to organic and inorganic means of nutrient supply(Fig. 1).",1. Important Crops/Cropping Systems For Organic Farming,,,,,60,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
17,"The economic analysis of different cropping systems (Fig. 2) across the nutrient management practices reveals that highest net returns (Rs. 177297/ha) were recorded under organic nutrient supply. Irrespective of nutrient management options, CS3 (Maize (grain)-potato-okra) recorded the highest system net returns.",1. Important Crops/Cropping Systems For Organic Farming,,,,,41,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
18,"Data on soil studies (0–45 cm soil depth) under different cropping systems and nutrient management practices (Table 3) reveals that across different cropping systems, SOC and available N, P and K in the soil under different management practices were recorded higher under organic followed by integrated and inorganic nutrient supply. Among the cropping systems no definite trend was observed. As the highest available N was recorded under CS3 while, available P, available K and SOC was recorded highest in CS4.",1. Important Crops/Cropping Systems For Organic Farming,,,,,80,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
19,"Source: Annual Report NPOF, Modipuram, 2012-13.| Treatment                                  | Available N   | Available P   |   Available K |   SOC (%) |
|--------------------------------------------|---------------|---------------|---------------|-----------|
| (kg/ha)                                    | (kg/ha)       | (kg/ha)       |               |           |
| CS                                         |               |               |               |           |
| 1                                          |               |               |               |           |
| - Basmati rice - Wheat                     |               |               |               |           |
| Organic                                    | 247.3         | 23.1          |         277.1 |     0.702 |
| Integrated                                 | 199.3         | 17.4          |         264.2 |     0.584 |
| Inorganic                                  | 147.2         | 14.3          |         173.4 |     0.383 |
| Mean                                       | 197.8         | 18.3          |         238.2 |     0.556 |
| CS                                         |               |               |               |           |
| 2                                          |               |               |               |           |
| - Coarse rice - Barley + Mustard-Mung bean |               |               |               |           |
| Organic                                    | 185.1         | 18.2          |         226.7 |     0.491 |
| Integrated                                 | 175.6         | 9.9           |         168.8 |     0.386 |
| Inorganic                                  | 161.1         | 7.5           |         132.1 |     0.293 |
| Mean                                       | 173.9         | 11.9          |         175.8 |     0.39  |
| CS                                         |               |               |               |           |
| 3                                          |               |               |               |           |
| - Maze (grain) - Potato - Okra             |               |               |               |           |
| Organic                                    | 241.8         | 20.7          |         227   |     0.756 |
| Integrated                                 | 201.8         | 20.4          |         217.1 |     0.701 |
| Inorganic                                  | 176.8         | 18.7          |         138.6 |     0.371 |
| Mean                                       | 204.9         | 19.9          |         194.2 |     0.605 |
| CS                                         |               |               |               |           |
| 4                                          |               |               |               |           |
| - Maize 9cobs) - Mustared + Radish         |               |               |               |           |
| Organic                                    | 154.4         | 25.7          |         282.1 |     0.717 |
| Integrated                                 | 141.3         | 24.3          |         257.1 |     0.697 |
| Inorganic                                  | 128.3         | 17.6          |         226.6 |     0.428 |
| Mean                                       | 141.3         | 22.5          |         255.2 |     0.614 |",1. Important Crops/Cropping Systems For Organic Farming,,,,,134,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
20,"In another experiment,biodynamic practices and Panchagavya were evaluated fororganic cultivation of two important cropping systems viz.Basmati rice - wheat (CS1)andmaize + cowpea (2:1) - wheat + mustard (4:1)(CS2) under six nutrient management practices as control(T1), FYM + Vermi Compost (T2), BD-FYM (T3), - FYM + Vermi Compost + Panchgavya (T4), FYM + Vermi Compost+ BD Preparation (T5) and FYM + Vermi -Compost + BD Preparation + Panchgavya (T6).",2. Role Of Biodynamic Practices And Panchgavya,,,,,68,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
21,"Results based on the mean data of two years (2011-12 & 2012-13) reveal that the highest grain yield of basmati rice was recorded under T6which being statistically at par to T5 and T4; was found to be significantly highest compared to control (T1). The trend in the grain yield of basmati rice was in the order: T6 > T5> T4> T2> T3> T1. Similar trends were recorded in grain yield of wheat also (Table 4). The grain yield of maize under T6 being statistically at par to T5 and T4 was highest compared to T3, T2 and T1. The grain yield of maize in descending order under different nutrient management practices was: T6> T5> T4>T2> T3> T1. In cowpea, pod yield under nutrient management practice of T6 being statistically at par to T5 and T4 was significantly highest compared to control (T1) and other nutrient management practices. Similar results were also observed in mustard grain yield (Table 4). As compared to basmati rice–wheat cropping system,the system productivity in terms ofBasmati Rice equivalent yield (BREY) was registered higher under maize + cowpea - wheat + mustard cropping system.",2. Role Of Biodynamic Practices And Panchgavya,,,,,187,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
22,"Moreover, irrespective of cropping systems,the application of T6 - (BD Preparation+ FYM + Vermi Compost + *Panchgavya*) recorded the highest BREY. Irrespective of cropping systems, higher net returns were noted with the application of T3 - (BD-FYM) (Table 4).Mean data of two years (2011-12 & 2012-13)on soil analysis (0- 45 cm) reveals that maize + cowpea– wheat + mustard cropping system recorded higher values of SOC, available P and K compared to cropping system CS1, while under cropping system CS2 were non- significantly higher compared to Basmati rice - wheatcropping system (CS1). Further, among nutrient management practice, T6recorded the highest SOC and availability of N, P and K into the soil than control (T1)(Table 5).",2. Role Of Biodynamic Practices And Panchgavya,,,,,116,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
23,"The treatments included two cropping systems viz.,basmati rice – mustard and basmati rice - chickpea in main plots, two soil management techniques viz., *Sesbania* green manure  and summer ploughing in subTreatment  C1 Basmati rice - wheat Basmati rice Wheat BREY Net returns B:C ratio  (q/ha)  (q/ha) (q/ha) (Rs/ha) T1 34.8 28.6 63.3 93747 3.6  T2 40.6 41.3 82.0 89259 1.4    T3 38.8 33.7 72.5 98469 2.7    T4 43.1 42.7 85.9 89461 1.3    T5 44.9 43.5 88.7 97527 1.5    T6 45.4 45.6 91.7 96386 1.4    Mean 41.2 39.2 80.7 94141 2.0      C2 Maize + cowpea - wheat + mustard   Maize Cowpea Wheat Mustard BREY Net returns B:C ratio (q/ha) (kg/ha) (q/ha) (q/ha) (q/ha) (Rs/ha) T1 38.7 1366.0 24.9 3.5 72.7 103617 3.9 T2 47.3 1560.5 36.1 4.4 94.6 101838 1.6 T3 45.2 1528.0 29.9 4.1 85.7 112387 3.1 T4 50.6 1805.5 37.0 5.0 100.8 106498 1.5 T5 51.3 1809.5 38.8 5.6 104.3 113814 1.7 T6 53.2 2022.0 39.1 5.8 107.9 116093 1.6 Mean 47.7 1681.9 34.3 4.7 94.3 109041 2.2",3. Disease-Pest Management Options In Organic Systems,,,,,170,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
24,"Source: Annual Report NPOF, Modipuram, 2011-12 & 2012-13.plots and two pest management practices viz., untreated and treated in subsub plots. In 'treated' plots a package of organic pest management practices were applied to each crop (Table 6).plots and two pest management practices viz., untreated and treated in subsub plots. In 'treated' plots a package of organic pest management practices were applied to each crop (Table 6).",3. Disease-Pest Management Options In Organic Systems,,,,,68,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
25,"A perusal of the mean data of two years (2011-12 & 2012-13) shows that compared to summer ploughing, green manuring resulted into higher grain yield of basmati rice, chickpea, mustard and system productivity in terms of BREY. Further, the application of organic pest management practice improved considerablythe grain yield of basmati rice, chickpea, mustard and system productivity in comparison to no pest management practice (Table 7).",3. Disease-Pest Management Options In Organic Systems,,,,,66,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
26,"| Treatment           | Available N   | Available P   | Available K   | SOC (%)   |
|---------------------|---------------|---------------|---------------|-----------|
| (kg/ha)             | (kg/ha)       | (kg/ha)       |               |           |
| Cropping System     |               |               |               |           |
|                     |               |               |               |           |
| CS1                 | 205.6         | 18.0          | 234.1         | 0.556     |
| CS2                 | 218.6         | 21.4          | 242.8         | 0.598     |
| SEm±                | 2.0           | 0.6           | 3.0           | 0.009     |
| CD (P=0.05)         | 12.3          | NS            | NS            | NS        |
| Nutrient management |               |               |               |           |
|                     |               |               |               |           |
| T1                  | 190.5         | 16.5          | 226.7         | 0.458     |
| T2                  | 215.1         | 19.5          | 240.6         | 0.601     |
| T3                  | 198.8         | 18.3          | 233.2         | 0.501     |
| T4                  | 219.5         | 20.4          | 241.4         | 0.631     |
| T5                  | 220.0         | 21.2          | 242.9         | 0.637     |
| T6                  | 228.5         | 22.7          | 245.7         | 0.633     |
| SEm±                | 5.3           | 0.6           | 3.3           | 0.017     |
| CD (P=0.05)         | 15.5          | 1.7           | 9.6           | 0.050     |",3. Disease-Pest Management Options In Organic Systems,,,,,79,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,table,,
27,"Source: Annual Report NPOF, Modipuram, 2011-12 & 2012-13.It is evident from the mean data of soil properties (0-45 cm depth) that there was no significant effect of cropping systems and pest management practice on the SOC and availability of N, P and K into soil. However, the available N, P, K and SOC in the soil were significantly increased with green manuring in comparison to summer ploughing(Table 8).",3. Disease-Pest Management Options In Organic Systems,,,,,69,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
28,"Among the cropping systems, the basmati rice-chickpea cropping system registered higher net returns than basmati rice-mustard system. Irrespective of cropping systems, green manuringnoted better net returns and B:C ratio as compared to summer ploughing. Treating the crops with bio pesticides has indicated much net higher returns than untreated plots (Table 9).",3. Disease-Pest Management Options In Organic Systems,,,,,51,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
29," Promotion of mixed farming approach for livelihood security and ecological sustainability by making crop- livestock integrated farming|                                                   | Basmati rice                              | Mustard               | Chickpea                   |
|---------------------------------------------------|-------------------------------------------|-----------------------|----------------------------|
| ·                                                 | Solar seed treatment for                  | · Soil application of | · Solar seed treatment for |
| seed borne diseases                               | neemcake                                  | seed borne diseases.  |                            |
| ·                                                 | Seed & seedling treatment                 | · Seed treatment with | · Soil application of      |
| with                                              |                                           |                       |                            |
| Pseudomonas                                       | Pseudomonas                               |                       |                            |
| neemcake.                                         |                                           |                       |                            |
| fluorescence &                                    | fluorescence &                            |                       |                            |
| Trichodermaharzianum                              |                                           |                       |                            |
| for                                               |                                           |                       |                            |
| Trichodermaharzianum                              |                                           |                       |                            |
| soil borne diseases                               |                                           |                       |                            |
| soil borne diseases.                              |                                           |                       |                            |
| ·                                                 | Foliar application of garlic              | · Application of      | · Seed treatment with      |
| + green chillies paste for                        |                                           |                       |                            |
| Crysoperilla cornea                               |                                           |                       |                            |
| for                                               |                                           |                       |                            |
| Pseudomonas                                       |                                           |                       |                            |
| gundhi bug.                                       | aphids.                                   |                       |                            |
| fluorescence &                                    |                                           |                       |                            |
| Trichodermaharzianum                              |                                           |                       |                            |
| for wilt and other soil                           |                                           |                       |                            |
| borne diseases.                                   |                                           |                       |                            |
| ·                                                 |                                           |                       |                            |
| Tricogrammachilonis                               |                                           |                       |                            |
| cards                                             | ·  Application of HaNPV · Foliar spray of |                       |                            |
| for stem borer and leaf folder.    for pod borer. |                                           |                       |                            |
| Pseudomonas                                       |                                           |                       |                            |
| fluorescence                                      |                                           |                       |                            |
| at dough                                          |                                           |                       |                            |
| stage for sheath blight                           |                                           |                       |                            |
| and sheath rot                                    |                                           |                       |                            |",Strategies For Future Development,,,,,139,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
30,"Source: Annual Report NPOF, Modipuram, 2011-12 & 2012-13.Treatment   Basmati rice -mustard       Basmati rice        Mustard     System's BREY Green Summer Green Summer Green Summer manuring ploughing manuring ploughing manuring ploughing Untreated 36.9 33.9 7.9 6.9 51.1 46.3 Treated 38.2 35.8 10.0 8.1 56.3 50.6 Mean 37.5 34.8 8.9 7.5 53.7 48.4   Basmati rice-chickpea        Basmati rice      Chickpea    System's BREY Untreated 37.8 34.4 9.3 7.0 56.7 48.5 Treated 40.1 35.4 12.1 9.0 64.5 53.7 Mean 38.9 34.9 10.7 8.0 60.6 51.1",Strategies For Future Development,,,,,78,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
31,"| Treatment             | Available N   | Available P   | Available K   | SOC (%)   |
|-----------------------|---------------|---------------|---------------|-----------|
| (kg/ha)               | (kg/ha)       | (kg/ha)       |               |           |
| Cropping systems      |               |               |               |           |
|                       |               |               |               |           |
| Basmati rice -mustard | 218.0         | 20.1          | 242.1         | 0.568     |
| Basmati rice-chickpea | 219.8         | 18.6          | 237.9         | 0.573     |
| SEm±                  | 2.25          | 0.39          | 5.35          | 0.007     |
| CD (P=0.05)           | NS            | NS            | NS            | NS        |
| Soil management       |               |               |               |           |
|                       |               |               |               |           |
| Green manuring        | 231.65        | 21.8          | 256.5         | 0.584     |
| Summer ploughing      | 206.2         | 16.8          | 223.5         | 0.557     |
| SEm±                  | 2.55          | 0.50          | 2.85          | 0.006     |
| CD (P=0.05)           | 10.1          | 2.0           | 11.3          | 0.023     |
| Pest management       |               |               |               |           |
|                       |               |               |               |           |
| Untreated             | 218.1         | 19.0          | 240.9         | 0.568     |
| Treated               | 219.8         | 19.7          | 239.1         | 0.573     |
| SEm±                  | 2.3           | 0.4           | 2.8           | 0.013     |
| CD (P=0.05)           | NS            | NS            | NS            | NS        |",Strategies For Future Development,,,,,87,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,table,,
32,"Source: Annual Report NPOF, Modipuram, 2011-12 & 2012-13.as a part of organic farming through decentralized production of livestock feed from locally available resources, but excluding spurious ingredients like growth promoters and hormones.as a part of organic farming through decentralized production of livestock feed from locally available resources, but excluding spurious ingredients like growth promoters and hormones.",Strategies For Future Development,,,,,58,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
33," Participatory technology development for sustainable production of organic basmati rice in relation to adaptation of climate change.  Promote natural resource based organic agriculture through adoption of SRI, direct sowing of rice, crop diversification etc. which have potential benefits relative to conventional practices and reducing the water use, enhancing carbon sequestration and increase the yield and incomeand reduce GHG emission.  Adaptation of climate change strategies in organic farming and quantification of organic agriculture in mitigating climate change.  Ensuring farm inputs for organic farming by implementation of programmes for the production of seeds, seedlings and other planting",Strategies For Future Development,,,,,99,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
34,"| Treatment             | Gross returns   | Total cost   |   Net returns |   B:C ratio |
|-----------------------|-----------------|--------------|---------------|-------------|
| (Rs/ha)               | (Rs/ha)         | (Rs/ha)      |               |             |
| Basmati rice -mustard |                 |              |               |             |
| Soil management       |                 |              |               |             |
| Green manuring        | 99511           | 44165        |      55346    |        1.25 |
| Summer ploughing      | 87995           | 40700        |      47295    |        1.16 |
| Pest management       |                 |              |               |             |
| Untreated             | 88994           | 40458        |      48536    |        1.2  |
| Treated               | 96478           | 43379        |      53099    |        1.22 |
| Mean                  |                 |              |               |             |
| 93244                 | 42175           | 51069        |          1.21 |             |
| Basmati rice-chickpea |                 |              |               |             |
| Soil management       |                 |              |               |             |
| Green manuring        | 101782          | 43933        |      57849    |        1.32 |
| Summer ploughing      | 89792           | 40468        |      49324    |        1.22 |
| Pest management       |                 |              |               |             |
| Untreated             | 91481           | 40226        |      51256    |        1.27 |
| Treated               | 98060           | 43147        |      54913    |        1.27 |
| Mean                  |                 |              |               |             |
| 95279                 | 41943           | 53335        |          1.27 |             |",Strategies For Future Development,,,,,80,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,table,,
35,"Source: Annual Report NPOF, Modipuram, 2011-12 & 2012-13.materials, manure, plant protection materials at the farm/local level and by developing local linkages for low cost input materials to farmers and ensure markets for good quality input materials at reasonable prices.",Strategies For Future Development,,,,,40,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
36," Development of model sustainable organic farms at institutions and farmers field to educate the farmers and to demonstrate the organic farming technologies.  Allocate resources on priority areas of research leading to development of package of practices and validation of innovations at farmer's field.  Awareness creation through seminar, training, conference meetings and print & electronic media.",Strategies For Future Development,,,,,58,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,
