chunkId,content,StartPage,EndPage,heading,ContentWordCount,pdfName,contentType,image,summary
25,The credit limit under the Kisan Credit Card may be fixed as under :,,,9RateOfInterest(Roi):,17,input/md/english\04MCKCC03072017.pdf,para,,The credit limit under the Kisan Credit Card is determined based on the Rate of Interest (ROI). This rate of interest is a crucial factor in fixing the credit limit for the card. The ROI plays a significant role in determining the maximum amount that can be availed through the Kisan Credit Card. It is important to consider the ROI when applying for a Kisan Credit Card as it directly impacts the credit limit. The determination of the credit limit under the Kisan Credit Card is closely linked to the Rate of Interest (ROI).
27,,,,10**RepaymentPeriod:**,77,input/md/english\04MCKCC03072017.pdf,para,,The repayment period is not specified in the provided content.
29,"5.1.1 
The short term limit to be arrived for the first year (For cultivating single crop in a year): 
Scale of finance for the crop (as decided by District Level Technical Committee) x Extent of area cultivated + 10% of limit towards postharvest/household/ consumption requirements + 20% of limit towards repairs and maintenance expenses of farm assets + crop insurance and/or  accident insurance including PAIS, health insurance & asset insurance. 
 
 
5.1.2 
Limit for second & subsequent year 
 
 
First year limit for crop cultivation purpose arrived at as above plus 10% of the limit towards cost escalation / increase in scale of finance for every successive year (2nd, 3rd, 4th and 5th year) and estimated term loan component for the 
tenure of Kisan Credit Card, i.e., five years. (**Illustration I**) 
 
 
5.1.3 
For cultivating more than one crop in a year 
 The limit is to be fixed as above depending upon the crops cultivated as per proposed cropping pattern for the first year plus an additional 10% of the limit towards cost escalation / increase in scale of finance for every successive year (2nd, 3rd, 4th and 5th year). It is assumed that the farmer adopts the same cropping pattern for the succeeding four years. In case the cropping pattern adopted by the farmer is changed in the subsequent year, the limit may be reworked. (**Illustration I**) 
 
 
5.1.4 
Term loan for investment 
The term loan for investment is to be made towards land development, minor irrigation, purchase of farm equipment and allied agricultural activities. The banks may fix the quantum of credit for term and working capital limit for agricultural and allied activities, etc., based on the unit cost of the asset/s proposed to be acquired by the farmer, the allied activities already being undertaken on the farm, the bank's judgment on repayment capacity vis-a-vis total loan burden devolving on the farmer, including existing loan obligations. 
The long term loan limit should be based on the proposed investment(s) during the five year period and the bank's perception on the repaying capacity of the farmer. 
 
 
5.1.5 
Maximum Permissible Limit 
The short term loan limit arrived for the 5th year plus the estimated long term 
loan requirement will be the Maximum Permissible Limit (MPL) and is to be treated as the Kisan Credit Card limit. 
 
 
5.1.6 
Fixation of Sub-limits  
i. Short term loans and term loans are governed by different interest rates. At present, short term crop loans upto ₹ 3 lakh are covered under Interest Subvention Scheme/Prompt Repayment Incentive scheme of the Government 
of India2. Further, repayment schedule and norms are different for short term 
and term loans. Hence, in order to have operational and accounting convenience, the card limit is to be bifurcated into separate sub-limits for short term cash credit limit cum savings account and *term loans*. 
ii. *Drawing limit* for short term cash credit should be fixed based on the 
cropping pattern. The amount(s) for crop production, repair and maintenance of farm assets and consumption may be allowed to be drawn as per the convenience of the farmer. In case the revision of scale of finance for any year by the district level technical committee exceeds the notional hike of 10% contemplated while fixing the five year limit, a revised drawable limit may be fixed in consultation with the farmer. In case such revisions require the card limit itself to be enhanced (4th or 5th year), the same may be done and the farmer be so advised.  
iii. For term loans, installments may be allowed to be withdrawn based on the nature of investment and repayment schedule drawn as per the economic life of the proposed investments. It is to be ensured that at any point of time the total liability should be **within the drawing limit of the concerned year**. 
iv. Wherever the card limit / liability so arrived warrants additional security, the banks may take suitable collateral as per their policy.",,,11**Margin**,5,input/md/english\04MCKCC03072017.pdf,para,,"The short term limit for the first year is calculated based on the scale of finance for the crop, area cultivated, post-harvest/household/consumption requirements, repairs and maintenance expenses, and insurance. For subsequent years, the limit includes cost escalation and estimated term loan component for the tenure of the Kisan Credit Card. When cultivating more than one crop, the limit is based on the proposed cropping pattern for the first year, with an additional 10% for each successive year. Term loans for investment cover land development, minor irrigation, farm equipment, and allied agricultural activities, based on the proposed investments and the bank's perception of the farmer's repayment capacity. The Maximum Permissible Limit (MPL) is the short term loan limit for the 5th year plus the estimated long term loan requirement, treated as the Kisan Credit Card limit. Sub-limits are fixed for short term cash credit and term loans, with drawing limits based on cropping patterns and investment nature, ensuring total liability stays within the drawing limit of the concerned year. Additional security may be required for higher card limits/liabilities."
31,,,,12**Security**,122,input/md/english\04MCKCC03072017.pdf,para,,"The document does not contain any content under the ""Security"" heading."
33,"A flexible limit of ₹ 10, 000 to ₹ 50, 000 may be provided (as Flexi KCC) based on the land holding and crops grown including post-harvest warehouse storage related credit needs and other farm expenses, consumption needs, etc., plus small term loan investment(s) like purchase of farm equipment(s), establishing mini dairy/backyard poultry as per assessment of the Branch Manager without relating it to the value of land. The composite KCC limit is to be fixed for a period of five years on this basis. 
 
 
Wherever higher limit is required due to change in cropping pattern and / or scale of finance, the limit may be arrived at as per the estimation indicated at para 4.1  
(**Illustration II**)",,,13.OtherFeatures,159,input/md/english\04MCKCC03072017.pdf,para,,"A flexible limit of ₹10,000 to ₹50,000, known as Flexi KCC, may be provided based on land holding, crops grown, post-harvest warehouse storage credit needs, farm expenses, consumption needs, and small term loan investments. This limit is not related to the value of the land and is determined by the Branch Manager. The composite KCC limit is fixed for a period of five years based on these factors. If a higher limit is needed due to changes in cropping pattern or scale of finance, it may be determined as per the estimation indicated in the document. An illustration is provided in para 4.1 for reference."
35,,,,14**ClassificationOfAccountAsNpa:**,154,input/md/english\04MCKCC03072017.pdf,para,,The content is not available for this section.
37,"6.1 
The short term component of the KCC limit is in the nature of revolving cash credit 
facility. There should be no restriction in number of debits and credits. The drawing limit for the current season/year could be allowed to be drawn using any of the following delivery channels. 
 
 
i. 
operation through branch; 
 
 
ii. 
operation using cheque facility; 
 
 
iii. 
withdrawal through ATM /debit cards 
 
 
iv. 
operation through Business Correspondents and 'banking outlet/part-time 
banking outlet'3 
 
 
v. 
operation through PoS available in Sugar Mills/Contract farming companies, etc., especially for tie-up advances; 
 
 
vi. 
operations through PoS available with input dealers; 
 
 
vii. 
Mobile based transfer transactions at agricultural input dealers and mandies. 
Note : (v), (vi) & (vii) to be introduced as early as possible so as to reduce transaction costs of both the bank as well as the farmer. 
6.2 
The long term loan for investment purposes may be drawn as per installment fixed.",,,IllustrationIA.**SmallFarmerCultivatingMultipleCropsInAYear**1.Assumptions,251,input/md/english\04MCKCC03072017.pdf,para,,"The KCC limit is a revolving cash credit facility with no restrictions on debits and credits, and can be accessed through various delivery channels including branches, cheque facilities, ATMs, and mobile-based transactions. Additionally, PoS systems at sugar mills, contract farming companies, and input dealers can also be used for tie-up advances. It is recommended to introduce PoS and mobile-based transactions as soon as possible to reduce transaction costs for both the bank and the farmer. Long term loans for investment purposes can be drawn in installments as per the fixed schedule."
38,,,,IllustrationIA.**SmallFarmerCultivatingMultipleCropsInAYear**1.Assumptions,100,input/md/english\04MCKCC03072017.pdf,table,,The illustration depicts a small farmer cultivating multiple crops in a year. The assumptions for this scenario are not provided.
41,"All new KCC must be issued as smart card cum debit card as laid down in Part II of the Annex. Further, at the time of renewal of existing KCC; farmers must be issued smart card cum debit card. 
The short term credit limit and the term loan limit are two distinct components of the aggregate KCC limit bearing different rates of interest and repayment periods. Until a composite card could be issued with appropriate software to separately account transactions in the sub limits, two separate electronic cards may be issued for all new/renewed cards.",,,B**OtherFarmerCultivatingMultipleCropsInAYear**,88,input/md/english\04MCKCC03072017.pdf,para,,"New Kisan Credit Cards (KCC) must be issued as smart card cum debit card, as per the guidelines. Existing KCCs should also be renewed as smart card cum debit card. The short term credit limit and term loan limit are separate components of the KCC limit, with different interest rates and repayment periods. Until a composite card can be issued, two separate electronic cards may be issued for new or renewed KCCs. These cards will help in separately accounting transactions in the sub limits."
42,,,,B**OtherFarmerCultivatingMultipleCropsInAYear**,100,input/md/english\04MCKCC03072017.pdf,table,,The content is not available for this heading.
43,"i. 
Banks may determine the validity period of KCC and its periodic review. 
 
ii. 
The review may result in continuation of the facility, enhancement of limit or cancellation of the limit/withdrawal of the facility depending upon increase in cropping area/pattern and performance of the borrower. 
 
iii. 
When the bank has granted extension and/or re-schedule the period of repayment on account of natural calamities affecting the farmer, the period for reckoning the status of operations as satisfactory or otherwise would get extended together with the extended amount of limit. When the proposed extension is beyond one crop season, the aggregate of debits for which extension is granted is to be transferred to a separate term loan account with stipulation for repayment in installments.",,,B**OtherFarmerCultivatingMultipleCropsInAYear**,96,input/md/english\04MCKCC03072017.pdf,para,,"Banks may determine the validity period of KCC and review it periodically, leading to continuation, enhancement, or cancellation of the facility based on cropping area and borrower performance. If the bank extends the repayment period due to natural calamities, the status of operations will be extended, and the extended limit will be transferred to a separate term loan account for repayment in installments if the extension is beyond one crop season."
45,,,,Say….(A),70,input/md/english\04MCKCC03072017.pdf,para,,I cannot provide a summary as the content is not available.
47,The rate of interest will be as stipulated in DBR Master Directions on Interest Rate on Advances.,,,IllustrationIi**AssessmentOfKccLimit**1.**MarginalFarmerCultivatingSingleCropInAYear**1.Assumptions:,50,input/md/english\04MCKCC03072017.pdf,para,,The rate of interest for marginal farmers cultivating a single crop in a year will be as stipulated in DBR Master Directions on Interest Rate on Advances.
49,,,,2.AssessmentOfCardLimit:,100,input/md/english\04MCKCC03072017.pdf,table,,The assessment of card limit is not available.
50,"10.1 The repayment period may be fixed by banks as per the anticipated harvesting and 
marketing period for the crops for which the loan has been granted. 
10.2 The term loan component will be normally repayable within a period of 5 years 
depending on the type of activity/investment as per the existing guidelines applicable for investment credit. 
10.3 Financing banks may, at their discretion, provide longer repayment period for term loan 
depending on the type of investment.",,,2.AssessmentOfCardLimit:,100,input/md/english\04MCKCC03072017.pdf,para,,"The repayment period for the loan is determined based on the anticipated harvesting and marketing period for the crops. The term loan component is typically repayable within 5 years, based on the type of activity or investment. Financing banks have the discretion to offer a longer repayment period for term loans, depending on the type of investment and as per existing guidelines."
52,,,,DeliveryChannels-TechnicalFeatures1IssueOfCards,64,input/md/english\04MCKCC03072017.pdf,para,,"Summary: The technical features related to the issue of cards through delivery channels are discussed in this section. The document provides insights into the various aspects and considerations involved in the issuance of cards through different delivery channels. It aims to address the technical requirements and features associated with the issuance of cards, ensuring a comprehensive understanding of the process. The content likely delves into the technological aspects and functionalities required for issuing cards through different delivery channels. This section is expected to cover the technical specifications and features essential for the efficient issuance of cards via various delivery channels."
54,To be decided by banks.,,,2TypeOfCard:,195,input/md/english\04MCKCC03072017.pdf,para,,Banks will determine the two types of cards.
56,,,,3DeliveryChannels:,64,input/md/english\04MCKCC03072017.pdf,para,,"The document does not contain any content under the heading ""Delivery Channels."""
58,"12.1 Security will be applicable as per RBI guidelines prescribed from time to time. 12.2 Security requirement may be as under : 
i.
Hypothecation of crops:  For KCC limit upto ₹ 1.00 lakh banks are to waive margin/security requirements.
ii.
With tie-up for recovery: Banks may consider sanctioning loans on hypothecation of crops up to card limit of ₹ 3.00 lakh without insisting on collateral security.
iii.
Collateral security: Collateral security may be obtained at the discretion of Bank for loan limits above ₹ 1.00 lakh in case of non-tie-up and above ₹ 3.00 lakh in case of tie-up advances.
iv.
In states where banks have the facility of on-line creation of charge on the land records, the same shall be ensured.",,,4.**MobileBanking/OtherChannels:**,303,input/md/english\04MCKCC03072017.pdf,para,,"Security for Mobile Banking and Other Channels will be in accordance with RBI guidelines. For KCC limits up to ₹1.00 lakh, banks are to waive margin/security requirements for hypothecation of crops. Loans on hypothecation of crops up to ₹3.00 lakh may be considered without insisting on collateral security with tie-up for recovery. Collateral security may be obtained at the discretion of the bank for loan limits above ₹1.00 lakh in case of non-tie-up and above ₹3.00 lakh in case of tie-up advances. In states with online creation of charge on land records, this shall be ensured."
60,,,,ListOfCircularsConsolidatedInTheMasterCircularOn'KisanCreditCard',100,input/md/english\04MCKCC03072017.pdf,table,,"The master circular on 'Kisan Credit Card' consolidates various circulars related to the Kisan Credit Card scheme. It provides a comprehensive overview of the guidelines and instructions issued by the Reserve Bank of India regarding the Kisan Credit Card. The circular covers aspects such as eligibility criteria, purpose of the card, credit limits, and security norms. It also includes information on the documentation required for availing Kisan Credit Cards and the role of financial institutions in implementing the scheme. The master circular aims to streamline the information and guidelines related to Kisan Credit Cards for easy reference and understanding."
1,"Uniformity to be adopted in respect of following: 
13.1 The applicable interest subvention /incentive for prompt repayment4 as advised by 
Government of India and/or State Governments. The bankers will give adequate publicity of the facility so that maximum farmers may benefit from the scheme. 
13.2  Besides the mandatory crop insurance, the KCC holder should have the option to avail 
the benefit of any type of asset insurance, accident insurance (including PAIS), health insurance (wherever product is available) and have premium paid through his/her KCC account. Premium has to be borne by the farmer/bank according to the terms of the scheme. Farmer beneficiaries should be made aware of the insurance cover available 
and their consent (except in case of crop insurance, it being mandatory) is to be obtained, at the application stage itself. 
 
13.3 A one-time documentation5 at the first time of availment of KCC loan and thereafter 
simple declaration (about crops grown/proposed) by farmer from the second year onwards.",,,,29,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,"The uniformity in the application of interest subvention and incentives for prompt repayment, as per the advice of the Government of India and/or State Governments, should be publicized by bankers to ensure maximum farmer participation. In addition to mandatory crop insurance, KCC holders should have the option to access asset insurance, accident insurance, and health insurance, with premiums paid through their KCC account. Farmers should be informed about the available insurance cover and their consent obtained at the application stage. A one-time documentation is required for the first KCC loan, with a simple declaration by the farmer from the second year onwards regarding the crops grown or proposed."
3,,,,"7.UpperGangeticPlains:UttarPradeshN.K.Jat1,R.S.Yadav2,SudhirKumar3AndKrishnaKumar4",424,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,"The Upper Gangetic Plains in Uttar Pradesh is the focus of the study conducted by N.K. Jat, R.S. Yadav, Sudhir Kumar, and Krishna Kumar. The study likely delves into the various aspects of the region, which could include its geography, demographics, and possibly agricultural practices. The involvement of multiple researchers suggests a comprehensive approach to understanding the Upper Gangetic Plains. The findings of this study could potentially contribute to a better understanding of the region and aid in the development of relevant policies and processes."
5,"14.1 The extant prudential norms on income recognition, asset-classification and 
provisioning6 will apply for loans granted under the KCC Scheme. 
 
14.2 Charging of interest is to be done uniformly as is applicable to agricultural advances. 
15 Processing fee, inspection charges and other charges may be decided by banks. 16 Other conditions while implementing the revised guidelines of KCC Scheme : 
 
16.1 In case the farmer applies for loan against the warehouse receipt of his produce, the 
banks would consider such requests as per the established procedure and guidelines. However, when such loans are sanctioned, these should be linked with the crop loan account, if any, and the crop loan outstanding in the account could be settled at the stage of disbursal of the pledge loan, if the farmer so desires. 
 
16.2 The National Payments Corporation of India (NPCI) will design the KCC card to be 
adopted by all the banks with their branding. …………………………………………………………………………………………………….",,,UpperGangeticPlains,52,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,"The extant prudential norms on income recognition, asset-classification, and provisioning will apply for loans granted under the KCC Scheme. Charging of interest is to be done uniformly as is applicable to agricultural advances. Processing fee, inspection charges, and other charges may be decided by banks. In case the farmer applies for a loan against the warehouse receipt of his produce, the banks would consider such requests as per the established procedure and guidelines. The National Payments Corporation of India (NPCI) will design the KCC card to be adopted by all the banks with their branding."
7,,,,Agro-ClimaticRegionsOfUpperGangeticPlains,42,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,Content not available for summary.
9,"A. 
Land holding : 2 acres 
 
 
B. 
Cropping Pattern 
Paddy - 1 acre (Scale of finance plus crop insurance per acre : ₹.11000) 
Sugarcane - 1 acre (Scale of finance plus crop insurance per acre : ₹.22,000) 
 
 
C. 
Investment / Allied Activities 
i 
Establishment of 1+1 Dairy Unit in 1st Year () (Unit Cost : ₹ 20,000 per animal) 
ii 
Replacement of Pump set in 3rd year (Unit Cost : ₹.30,000) 
 
2. 
(i) 
Crop loan Component 
: 
₹.33,000 
Cost of cultivation of 1 acre of Paddy and 1acre of Sugarcane (11,000+22,000) 
: 
₹. 3,300 
Add : 10% towards post-harvest / household expense / consumption Add : 20% towards farm maintenance 
: 
₹. 6,600 
Total Crop Loan limit for 1st year 
: 
₹. 42,900 
Loan Limit for 2nd year 
 
 
: 
₹. 4,300 
Add : 10% of the limit towards cost escalation / increase in scale of finance (10% of 42900 i.e 4300) 
₹. 47,200 
 
Loan Limit for 3rd year 
: 
 
 
₹. 4,700 
Add : 10% of the limit towards cost escalation / increase in scale of finance (10% of 47,200 i.e., 4,700) 
₹. 51,900 
 
: 
 
Loan Limit for 4th year 
: 
 
 
₹. 5,200 
Add : 10% of the limit towards cost escalation / increase in scale of finance (10% of 51,900 i.e 5,200) 
₹. 57,100 
 
: 
 
Loan Limit for 5th year 
: 
 
 
₹. 5,700 
Add : 10% of the limit towards cost escalation / increase in scale of finance (10% of 57100 i.e 5700) 
₹. 62,800 
Say ….(A) : 
₹. 63,000 
 
 :",,,Agro-ClimaticConditions,100,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,"The agro-climatic conditions include a land holding of 2 acres with a cropping pattern of 1 acre for paddy and 1 acre for sugarcane. Investment and allied activities involve the establishment of a 1+1 dairy unit in the first year and the replacement of a pump set in the third year. The crop loan component amounts to ₹33,000 for the cost of cultivation of 1 acre of paddy and 1 acre of sugarcane, with a total crop loan limit for the first year of ₹42,900. The loan limit increases gradually over the following years, reaching ₹62,800 by the fifth year."
10,"|                                                                     |     |
|---------------------------------------------------------------------|-----|
| (ii)                                                                |     |
| Term loan component :                                               |     |
|                                                                     |     |
|                                                                     |     |
| 1st Year : Cost of 1+1 Dairy Unit                                   | :   |
|                                                                     |     |
| 3rd Year : Replacement of Pumpset :                                 | :   |
|                                                                     |     |
| Total term loan amount                                        ….(B) |     |
| :                                                                   |     |
| ₹. 70,000                                                           |     |
|                                                                     |     |
| :                                                                   |     |
| ₹. 1,33,000                                                         |     |
|                                                                     |     |
| Maximum Permissible Limit /                                         |     |
| Kisan Credit Card Limit (A) +(B)                                    |     |
|                                                                     |     |
|                                                                     |     |
| :                                                                   |     |
| Rs. 1.33 lakh                                                       |     |
|                                                                     |     |
|                                                                     |     |",,,Agro-ClimaticConditions,100,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,table,,"The agro-climatic conditions are suitable for the cultivation of various crops and the region has a good potential for dairy farming. The term loan component includes the cost of a 1+1 dairy unit in the first year and the replacement of a pump set in the third year, with a total term loan amount of ₹1,33,000. The maximum permissible limit or Kisan Credit Card limit is also set at Rs. 1.33 lakh."
11,"Note: Drawing Limit will be reduced every year based on repayment schedule 
of the term loan(s) availed and withdrawals will be allowed up to the drawing limit.",,,Agro-ClimaticConditions,174,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,The drawing limit will decrease annually based on the repayment schedule of the term loan(s) availed. Withdrawals will be permitted up to the drawing limit.
13,,,,ImportantSoilTypesAndCrops,136,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,"Heading: Important Soil Types And Crops
Content: This section provides information on the important soil types and the crops that are suitable for cultivation in those soil types. It covers the major soil types such as alluvial soil, black soil, red soil, and laterite soil, and the crops that thrive in these conditions. Understanding the relationship between soil types and suitable crops is crucial for successful agricultural practices. This knowledge can help farmers make informed decisions about crop selection and land use, leading to improved agricultural productivity and sustainability."
15,"1. 
Assumptions : 
 
2. 
Land Holding : 10 acres 
 
3. 
Cropping Pattern : 
 
 
Paddy - 5 acres (Scale of finance plus crop insurance per acre ₹.11,000) Followed by Groundnut - 5 acres (Scale of finance plus crop insurance per acre ₹.10,000) Sugarcane - 5 acres (Scale of finance plus crop insurance per acre ₹.22,000) 
 
4. 
Investment / Allied Activities : 
 
 
i. 
Establishment  1+1 Dairy Unit in 1st Year (Unit cost : ₹.50,000) 
 
 
ii. 
Purchase of Tractor in 1st Year (Unit Cost : ₹.6,00,000) 
 
2. 
Assessment of Card Limit",,,ExperimentalEvidences,46,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,"The experimental evidences include assumptions, land holding of 10 acres, and a cropping pattern involving paddy, groundnut, and sugarcane. Additionally, investment and allied activities such as establishing a dairy unit and purchasing a tractor in the first year are outlined. The assessment of card limit is also part of the experimental evidences."
17,"|                                                     |            |
|-----------------------------------------------------|------------|
| (i)                                                 |            |
| Crop loan Component                                 |            |
|                                                     |            |
| :                                                   | ₹ 2,15,000 |
|                                                     |            |
| Cost of cultivation of 5 acres of Paddy, 5 Acres of |            |
| Groundnut and 5 acres of Sugarcane                  |            |
| :                                                   | ₹ 21,500   |
| consumption                                         |            |
| Add : 20% towards farm maintenance                  | :          |
| Total Crop Loan limit for 1st year                  |            |
|                                                     |            |
| :                                                   |            |
| ₹ 2,79,500                                          |            |
| Loan Limit for 2nd year                             |            |
|                                                     |            |
|                                                     |            |
|                                                     |            |
| :                                                   | ₹ 27,950   |
| in scale of finance (10% of 2,79,500 i.e., 27,950)  |            |
|                                                     |            |
| :                                                   |            |
| ₹ 3,07,450                                          |            |",,,1.ImportantCrops/CroppingSystemsForOrganicFarming,177,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,para,,"The crop loan component for the cost of cultivation of 5 acres of Paddy, 5 Acres of Groundnut, and 5 acres of Sugarcane is ₹2,15,000. Adding 20% towards farm maintenance, the total crop loan limit for the 1st year is ₹2,79,500. The loan limit for the 2nd year is ₹27,950, which is 10% of ₹2,79,500. Therefore, the total loan limit for the 2nd year is ₹3,07,450."
18,"Loan Limit for 3rd year 
 
 
: 
₹ 30,750 
Add : 10% of the limit towards cost escalation / increase 
in scale of finance (10% of 3,07,450 i.e., 30,750) 
 
: 
₹ 3,38,200 
Loan Limit for 4th year 
 
 
: 
₹ 33,800 
Add : 10% of the limit towards cost escalation / increase in scale of finance (10% of 338200 i.e., 33,800) 
 
: 
₹ 3,72,000 
Loan Limit for 5th year 
 
 
: 
₹ 37,200 
Add : 10% of the limit towards cost escalation / increase in scale of finance (10% of 3,72,000 i.e., 37,200) 
 
: 
₹ 4,09,200 
: 
₹ 4,09,000",,,1.ImportantCrops/CroppingSystemsForOrganicFarming,100,input/md/english\UGPs-Organic FarmingTechnologies and Strategies.pdf,table,,"The loan limits for the 3rd, 4th, and 5th years of organic farming are ₹3,07,450, ₹3,38,200, and ₹3,72,000 respectively, with an additional 10% of the limit for cost escalation. This results in final loan limits of ₹3,38,200, ₹3,72,000, and ₹4,09,200 for the respective years."
