,chunkId,content,heading,StartPage,EndPage,ContentWordCount,pdfName,contentType,image,summary
11,,"FOREWORD National Bank for Agriculture and Rural Development (NABARD) sincerely acknowledges the efforts of Shri K K Gupta, former Director, Bankers Institute of Rural Development (BIRD) Lucknow and his team of Faculty Members who have made significant contribution in bringing out this Manual on Farmer Producer Organizations.",Farmer Producer Organisations Frequently Asked Questions (Faqs),,,47,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
12,,Special thanks are due to Faculty Members of BIRD viz. Shri D.,Farmer Producer Organisations Frequently Asked Questions (Faqs),,,12,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
13,," Nageswara Rao (Coordinator), Shri U.D. Shirsalkar, Shri Jaideep Srivastava, Shri R.K. Srivastava, Shri Maheshwar Sahoo, Shri G.S. Rawat and Shri K.I. Shariff, for collating information from different sources and organizing various chapters in a sequential manner.",Farmer Producer Organisations Frequently Asked Questions (Faqs),,,36,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
14,,They have taken due care in drafting and editing the contents in a user friendly way.,Farmer Producer Organisations Frequently Asked Questions (Faqs),,,16,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
15,,"Shri Sunil Chawla, Joint Director, Dr. K.C. Sharma, Shri Niraj Kumar Verma and Shri KL Vinaya, Faculty Members of BIRD have also given their help in proof reading and improving the contents of the manual.",Farmer Producer Organisations Frequently Asked Questions (Faqs),,,35,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
16,,"The access to the material and information from earlier manuals and resources on the subject developed, *inter alia*, by Department of Agriculture and Cooperation (DAC) in Ministry of Agriculture, Govt.",Farmer Producer Organisations Frequently Asked Questions (Faqs),,,30,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
17,,"of India,  Small Farmers Agribusiness Consortium  (SFAC) as also Dr. Amar KJR Nayak, Professor of Management & Centre Director, National Centre for Sustainable Community Systems, Lal Bahadur Shastri National Academy of Administration, Mussoorie and Action for Social Advancement (ASA), Bhopal, is sincerely acknowledged.",Farmer Producer Organisations Frequently Asked Questions (Faqs),,,43,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
18,,"  Conceptualization and development of manual would not have been possible without the continued encouragement, support and guidance of Dr. Harsh Kumar Bhanwala, Chairman NABARD, Shri R Amalorpavanathan and Shri H R Dave, Deputy Managing Directors of NABARD.",Farmer Producer Organisations Frequently Asked Questions (Faqs),,,37,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
19,,"Also, the initiatives taken and efforts put in by Dr. P Radhakrishnan, Chief General Manager, Dr. A R Khan and Shri Sanjay Kumar Dora, Deputy General Managers in coordinating with BIRD and other organizations/ departments in bringing out this manual, are greatly acknowledged.",Farmer Producer Organisations Frequently Asked Questions (Faqs),,,43,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
20,,"Dr. B G Mukhopadhyay Chief General Manager Farm Sector Development Department NABARD Head Office, Mumbai     The Objective of this Manual is to act as a guide to Producer Organisation Promoting Institutions (POPIs) in Promoting and Capacity Building of Producer Organisations (POs) and help POs towards better Management and Business Development.",Farmer Producer Organisations Frequently Asked Questions (Faqs),,,50,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
21,9.0,## Contents,Farmer Producer Organisations Frequently Asked Questions (Faqs),,,2,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,heading,,
22,10.0,"| Chapters      | Particulars                                                | Page No.    |
|---------------|------------------------------------------------------------|-------------|
| 1             | Concept of Producer Organisation                           | 1           |
| 2             | Producer Organisation Registered as Cooperative Society    | 15          |
| 3             | Producer Organisation Registered as Producer Company       | 19          |
| 4             | Producer Organisation Registered as Non-Profit Society     | 33          |
| 5             | Producer Organisation Registered as Trust                  | 36          |
| 6             | Producer Organisation Registered as Section 8 Company      | 39          |
| 7             | Business Planning                                          | 42          |
| 8             | Financial Management                                       | 55          |
| 9             | Funding Arrangement                                        | 60          |
| 10            | Monitoring by the PO, POPI and Funding Agencies            | 80          |
| Attachment    |                                                            |             |
| 1             | Producer Company Act provisions                            |             |
| 2             | PRODUCE Fund Operational Guidelines                        | 106         |
| 3             | SFAC Circular on Promoting / supporting Producer Companies | 114         |
| 4             | Case Study on Bilaspur Model of PO                         | 125         |
| 5             | Indicative Framework of the process of forming a PO        | 131         |
| 6             | References                                                 | 138         |
| 7             | Memorandum of Agreement between NABARD and POPI            | 139         |
| 8             | Memorandum of Understanding between NABARD and RSA         | 143         |
| 9             |                                                            |             |
| Abbreviations |                                                            |             |
|               |                                                            |             |
| 146           |                                                            |             |
|               |                                                            |             |
|               |                                                            |             |
|               |                                                            |             |
|               |                                                            |             |
|               |                                                            |             |
|               |                                                            |             |
|               |                                                            |             |
|               |                                                            |             |
|               |                                                            |             |
|               |                                                            |             |
|               |                                                            |             |
|               |                                                            |             |","Farmer Producer Organisations Frequently Asked Questions (Faqs),Contents",,,139,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,table,,
23,11.0,## Chapter 1 Concept Of Producer Organisation 1.1 What Is A Producer Organisation (Po)?,Farmer Producer Organisations Frequently Asked Questions (Faqs),,,14,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,heading,,
24,,"A Producer Organisation (PO) is a legal entity formed by primary producers, viz. farmers, milk producers, fishermen, weavers, rural artisans, craftsmen.","Farmer Producer Organisations Frequently Asked Questions (Faqs),Chapter 1 Concept Of Producer Organisation 1.1 What Is A Producer Organisation (Po)?",,,21,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
25,,"A PO can be a producer company, a cooperative society or any other legal form which provides for sharing of profits/benefits among the members.","Farmer Producer Organisations Frequently Asked Questions (Faqs),Chapter 1 Concept Of Producer Organisation 1.1 What Is A Producer Organisation (Po)?",,,24,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
26,,"In some forms like producer companies, institutions of primary producers can also become member of PO. 1.2  What is the need for PO?","Farmer Producer Organisations Frequently Asked Questions (Faqs),Chapter 1 Concept Of Producer Organisation 1.1 What Is A Producer Organisation (Po)?",,,23,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
27,, The main aim of PO is to ensure better income for the producers through an organization of their own.,"Farmer Producer Organisations Frequently Asked Questions (Faqs),Chapter 1 Concept Of Producer Organisation 1.1 What Is A Producer Organisation (Po)?",,,19,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
28,, Small producers do not have the volume individually (both inputs and produce) to get the benefit of economies of scale.,"Farmer Producer Organisations Frequently Asked Questions (Faqs),Chapter 1 Concept Of Producer Organisation 1.1 What Is A Producer Organisation (Po)?",,,20,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
29,,"Besides, in agricultural marketing, there is a long chain of intermediaries who very often work non-transparently leading to the situation where the producer receives only a small part of the value that the ultimate consumer pays.","Farmer Producer Organisations Frequently Asked Questions (Faqs),Chapter 1 Concept Of Producer Organisation 1.1 What Is A Producer Organisation (Po)?",,,36,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
30,,"Through aggregation, the primary producers can avail the benefit of economies of scale. They will also have better bargaining power vis-à-vis the bulk buyers of produce and bulk suppliers of inputs.","Farmer Producer Organisations Frequently Asked Questions (Faqs),Chapter 1 Concept Of Producer Organisation 1.1 What Is A Producer Organisation (Po)?",,,31,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
31,,"1.3  What is a ""Farmers Producer Organisation"" (FPO)?  It is one type of PO where the members are farmers.","Farmer Producer Organisations Frequently Asked Questions (Faqs),Chapter 1 Concept Of Producer Organisation 1.1 What Is A Producer Organisation (Po)?",,,19,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
32,,"Small Farmers' Agribusiness Consortium (SFAC) is providing support for promotion of FPOs. PO is a generic name for an organization of producers of any produce, e.g., agricultural, non-farm products, artisan products, etc.","Farmer Producer Organisations Frequently Asked Questions (Faqs),Chapter 1 Concept Of Producer Organisation 1.1 What Is A Producer Organisation (Po)?",,,32,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
33,,1.4  Can there be a PO for non-farmers?  Yes. The PO is an organization of the primary producers.,"Farmer Producer Organisations Frequently Asked Questions (Faqs),Chapter 1 Concept Of Producer Organisation 1.1 What Is A Producer Organisation (Po)?",,,18,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
34,,"If the produce in question is a nonfarm item (for example, handloom or handicraft), then the PO will be that of non-farmers.","Farmer Producer Organisations Frequently Asked Questions (Faqs),Chapter 1 Concept Of Producer Organisation 1.1 What Is A Producer Organisation (Po)?",,,22,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
35,,"The objective of the PO is to ensure better income realization to its members (who are producers) through aggregation and, if feasible, value addition. 1.5  What are the essential features of a PO?","Farmer Producer Organisations Frequently Asked Questions (Faqs),Chapter 1 Concept Of Producer Organisation 1.1 What Is A Producer Organisation (Po)?",,,33,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
36,, a. It is formed by a group of producers for either farm or non-farm activities. b. It is a registered body and a legal entity. c. Producers are shareholders in the organization. d.,"Farmer Producer Organisations Frequently Asked Questions (Faqs),Chapter 1 Concept Of Producer Organisation 1.1 What Is A Producer Organisation (Po)?",,,33,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
37,,It deals with business activities related to the primary produce/product. e. It works for the benefit of the member producers. f. A part of the profit is shared amongst the producers. g.,"Farmer Producer Organisations Frequently Asked Questions (Faqs),Chapter 1 Concept Of Producer Organisation 1.1 What Is A Producer Organisation (Po)?",,,32,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
38,,Rest of the surplus is added to its owned funds for business expansion.,"Farmer Producer Organisations Frequently Asked Questions (Faqs),Chapter 1 Concept Of Producer Organisation 1.1 What Is A Producer Organisation (Po)?",,,13,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
39,13.0,## 1.6 Who Owns The Po?,Farmer Producer Organisations Frequently Asked Questions (Faqs),,,6,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,heading,,
40,14.0,"The ownership of the PO is with its members. It is an organization of the producers, by the producers and for the producers. One or more institutions and/or individuals may have promoted the PO by way of assisting in mobilization, registration, business planning and operations. However, ownership control is always with members and management is through the representatives of the members.","Farmer Producer Organisations Frequently Asked Questions (Faqs),1.6 Who Owns The Po?",,,61,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
41,15.0,## 1.7 Who Can Promote A Po?,Farmer Producer Organisations Frequently Asked Questions (Faqs),,,7,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,heading,,
42,16.0,"Any individual or institution can promote a PO. Individual persons or institutions may promote PO using their own resources out of goodwill or with the noble objective of socioeconomic development of producers. If, however, the facilitating agency wishes to seek financial and other support, then they have to meet the requirements of the donor/financing agency. 1.8  Who provides support for promotion of PO?  NABARD, SFAC, Government Departments, Corporates and Domestic & International Aid Agencies provide financial and/or technical support to the Producer Organisation Promoting Institution (POPI) for promotion and hand-holding of the PO. Each agency has its own criteria for selecting the project/promoting institution to support. 1.9  Can an NGO promote PO?","Farmer Producer Organisations Frequently Asked Questions (Faqs),1.7 Who Can Promote A Po?",,,112,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
43,17.0,"## Yes, It Can. The Ngo May Be A Non-Profit Organization, But Not The Po. The Ngo Can Promote Po Which Will Provide Better Income To The Members. Sharing Of Profit Among Members Is An Important Objective Of The Po. 1.10 What Are The Different Legal Forms Of Po?",Farmer Producer Organisations Frequently Asked Questions (Faqs),,,49,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,heading,,
44,18.0,"Producer Organisation can be registered under any of the following legal provisions:  a. Cooperative Societies Act/ Autonomous or Mutually Aided Cooperative Societies Act  of the respective State  b. Multi-State Cooperative Society Act, 2002 c. Producer Company under Section 581(C) of Indian Companies Act, 1956, as amended  in 2013  d. Section 25 Company of Indian Companies Act, 1956, as amended as Section 8 in 2013 e. Societies registered under Society Registration Act, 1860 f. Public Trusts registered under Indian Trusts Act, 1882","Farmer Producer Organisations Frequently Asked Questions (Faqs),Yes, It Can. The Ngo May Be A Non-Profit Organization, But Not The Po. The Ngo Can Promote Po Which Will Provide Better Income To The Members. Sharing Of Profit Among Members Is An Important Objective Of The Po. 1.10 What Are The Different Legal Forms Of Po?",,,81,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
45,19.0,## 1.11 Which Legal Form Is Preferable For A Po?,Farmer Producer Organisations Frequently Asked Questions (Faqs),,,10,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,heading,,
46,20.0,"Institutions registered as cooperative societies and producer companies have legal provisions for sharing of profit earned by the PO by way of dividend. Other legal forms do not explicitly provide for profit sharing. However, the PO can offer better price for the produce it procures from the members, thus, benefiting the latter. Similarly, it can procure inputs/raw material in bulk and sell to members with low margin. Such activities are permissible for POs under all legal forms. A comparative chart of important features of Cooperative Society and Producer Company is given below:  Key differences between Producer Companies and Cooperative Societies","Farmer Producer Organisations Frequently Asked Questions (Faqs),1.11 Which Legal Form Is Preferable For A Po?",,,100,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
47,21.0,"| PARAMETER                               | COOPERATIVE SOCIETY   |              |
|-----------------------------------------|-----------------------|--------------|
| Registration  Cooperative Societies Act | Indian Companies Act  |              |
| Objectives                              | Single object         | Multi-object |
| Restricted, discretionary               | Entire Union of India | Area of      |
| Operation                               |                       |              |","Farmer Producer Organisations Frequently Asked Questions (Faqs),1.11 Which Legal Form Is Preferable For A Po?",,,24,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,table,,
48,22.0,##,Farmer Producer Organisations Frequently Asked Questions (Faqs),,,1,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,heading,,
49,23.0,"| PARAMETER                                | COOPERATIVE SOCIETY                 |                                        |
|------------------------------------------|-------------------------------------|----------------------------------------|
| Membership  Individuals and cooperatives | Any individual, group, association, |                                        |
| producer of goods or services            |                                     |                                        |
| Share                                    | Non tradable                        | Not tradable but transferable; limited |
| to members at par value                  |                                     |                                        |
| Profit                                   |                                     |                                        |
| sharing                                  |                                     |                                        |
| Limited dividends on shares              | Commensurate with volume of         |                                        |
| business                                 |                                     |                                        |
| Voting rights  One member, one vote, but |                                     |                                        |
| Government and Registrar of              |                                     |                                        |
| Cooperatives hold veto power             |                                     |                                        |
| One member, one vote. Members not        |                                     |                                        |
| having transactions with the             |                                     |                                        |
| company cannot vote                      |                                     |                                        |
| Government                               |                                     |                                        |
| control                                  |                                     |                                        |
| Highly patronized to the extent of       |                                     |                                        |
| interference                             |                                     |                                        |
| Minimal, limited to statutory            |                                     |                                        |
| requirements                             |                                     |                                        |
| Extent of                                |                                     |                                        |
| Autonomy                                 |                                     |                                        |
| Limited in ""real world scenario""         | Fully autonomous, self-ruled within |                                        |
| the provisions of Act                    |                                     |                                        |
| Reserves                                 | Created if there are profits        | Mandatory to create every year         |
| Borrowing                                |                                     |                                        |
| power                                    |                                     |                                        |
| Restricted as per bye-law. Any           |                                     |                                        |
| amendment to bye-law needs to            |                                     |                                        |
| be approved by the Registrar and         |                                     |                                        |
| time consuming.                          |                                     |                                        |
| Borrowing limit fixed by Special         |                                     |                                        |
| Resolution in general meeting.           |                                     |                                        |
| Companies have more freedom to           |                                     |                                        |
| raise borrowing power.                   |                                     |                                        |
| Transaction based                        | Producers and corporate entity can  |                                        |
| together float a producer company.       |                                     |                                        |
|                                          |                                     |                                        |
| Relationship                             |                                     |                                        |
| with other                               |                                     |                                        |
| corporate /                              |                                     |                                        |
| business                                 |                                     |                                        |
| houses /                                 |                                     |                                        |
| NGOs                                     |                                     |                                        |
|                                          |                                     |                                        |","Farmer Producer Organisations Frequently Asked Questions (Faqs),",,,168,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,table,,
50,24.0,## 1.12 Can A Po Be Registered Under Acts Governing Non-Profit Institutions?,Farmer Producer Organisations Frequently Asked Questions (Faqs),,,12,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,heading,,
51,25.0,Yes. Institutions can be built for promoting common interests of members/producers. The limitation is that surplus generated by such a PO cannot be divided among members by way of dividend etc. The PO can re-invest the surplus to grow the business. Comparison of PO registered under different Acts governing non-profit institutions is given below: Comparative Chart for Non-Profit Legal Forms,"Farmer Producer Organisations Frequently Asked Questions (Faqs),1.12 Can A Po Be Registered Under Acts Governing Non-Profit Institutions?",,,60,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
52,26.0,"| PARAMETER               | SECTION 8 COMPANY   |                        | SOCIETY               |                        |
|-------------------------|---------------------|------------------------|-----------------------|------------------------|
| Objectives              |                     | Non-profit activities  | Charitable, Literary, |                        |
| Scientific, etc.        |                     |                        |                       |                        |
| Charitable, Socially    |                     |                        |                       |                        |
| beneficial              |                     |                        |                       |                        |
| Statute / Law           |                     | Indian Companies Act,  |                       |                        |
| 1956                    |                     |                        |                       |                        |
| Societies Registration  |                     |                        |                       |                        |
| Act 1860                |                     |                        |                       |                        |
| Indian Trust Act, 1882  |                     |                        |                       |                        |
| or Bombay Public        |                     |                        |                       |                        |
| Trusts Act              |                     |                        |                       |                        |
| Alternation of          |                     |                        |                       |                        |
| objects                 |                     |                        |                       |                        |
| Complex legal procedure | Simple procedure    | Normally only Settlor  |                       |                        |
| can modify              |                     |                        |                       |                        |
| Simple and easy         | Simple and easy     | Formation              |                       | Complex procedure, 3-6 |
| months                  |                     |                        |                       |                        |
| Management              |                     | Formalities of Company |                       |                        |
| law have to be observed |                     |                        |                       |                        |
| Few restrictions        |                     |                        |                       |                        |
| imposed under the Act   |                     |                        |                       |                        |
| Very few restrictions   |                     |                        |                       |                        |
| imposed under the Act   |                     |                        |                       |                        |
| PARAMETER               | SECTION 8 COMPANY   |                   | SOCIETY              |
|-------------------------|---------------------|-------------------|----------------------|
| No provisions laid      |                     |                   |                      |
| down                    |                     |                   |                      |
| Meetings                |                     | To be held as per |                      |
| provisions of law which |                     |                   |                      |
| are quite extensive.    |                     |                   |                      |
| Annual meeting as per   |                     |                   |                      |
| law and Rules of the    |                     |                   |                      |
| society                 |                     |                   |                      |
| Very negligible         | Penalties           |                   | Various offences and |
| lapses attract severe   |                     |                   |                      |
| penalties.              |                     |                   |                      |
| Few offences and        |                     |                   |                      |
| penalties have been     |                     |                   |                      |
| prescribed              |                     |                   |                      |
| Legal Status            |                     | Full legal status | Legal status with    |
| certain limitations     |                     |                   |                      |
| Legal status with       |                     |                   |                      |
| limitations             |                     |                   |                      |
| Exhaustive but mature   | Very limited        | Nominal           | Statutory            |
| Regulation              |                     |                   |                      |
| Not applicable          | Removal of          |                   |                      |
| members                 |                     |                   |                      |
| Not possible without    |                     |                   |                      |
| consent                 |                     |                   |                      |
| Possible without        |                     |                   |                      |
| consent                 |                     |                   |                      |
| Very difficult          | Possible            | Possible          | Dissolution or       |
| takeover by state       |                     |                   |                      |","Farmer Producer Organisations Frequently Asked Questions (Faqs),1.12 Can A Po Be Registered Under Acts Governing Non-Profit Institutions?",,,175,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,table,,
53,27.0,## 1.13 Is Registration Mandatory For A Po?,Farmer Producer Organisations Frequently Asked Questions (Faqs),,,8,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,heading,,
54,28.0,"It is preferable for the PO to work as a legal entity. Only such an entity can enter into legally valid contracts including mobilization of funds from other institutions. There are specific Acts under which the PO could be registered. It is also possible for a PO to migrate from one legal form to another. While choosing a legal form, the following factors may be kept in view:  a. Primary producers should benefit from the surplus generated by the PO. b. Process of Registration should not be too demanding in terms of time and  resources.  c. The legal form needs to fit into its business needs, organizational priorities, social  capital and management capacity.","Farmer Producer Organisations Frequently Asked Questions (Faqs),1.13 Is Registration Mandatory For A Po?",,,113,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
55,29.0,## 1.14 What Are The Important Activities Of A Po?,Farmer Producer Organisations Frequently Asked Questions (Faqs),,,10,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,heading,,
56,30.0,"The primary producers have skill and expertise in producing. However, they generally need support for marketing of what they produce. The PO will basically bridge this gap. The PO will take over the responsibility of any one or more activities in the value chain of the produce right from procurement of raw material to delivery of the final product at the ultimate consumers' doorstep. In brief, the PO could undertake the following activities:  a. Procurement of inputs b. Disseminating market information c. Dissemination of technology and innovations d. Facilitating finance for inputs e. Aggregation and storage of produce f. Primary processing like drying, cleaning and grading g. Brand building, Packaging, Labeling and Standardization h. Quality control i. Marketing to institutional buyers j. Participation in commodity exchanges k. Export","Farmer Producer Organisations Frequently Asked Questions (Faqs),1.14 What Are The Important Activities Of A Po?",,,128,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
57,31.0,## 1.15 How Would A Po Help The Members?,Farmer Producer Organisations Frequently Asked Questions (Faqs),,,9,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,heading,,
58,,A PO will support the members in getting more income by undertaking any/many/all of the activities listed under point 1.14 above.,"Farmer Producer Organisations Frequently Asked Questions (Faqs),1.15 How Would A Po Help The Members?",,,21,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
59,,"By aggregating the demand for inputs, the PO can buy in bulk, thus procuring at cheaper price compared to individual purchase. Besides, by transporting in bulk, cost of transportation is reduced.","Farmer Producer Organisations Frequently Asked Questions (Faqs),1.15 How Would A Po Help The Members?",,,31,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
60,,"Thus reducing the overall cost of production. Similarly, the PO may aggregate the produce of all members and market in bulk, thus, fetching better price per unit of produce.","Farmer Producer Organisations Frequently Asked Questions (Faqs),1.15 How Would A Po Help The Members?",,,29,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
61,,The PO can also provide market information to the producers to enable them hold on to their produce till the market price become favourable.,"Farmer Producer Organisations Frequently Asked Questions (Faqs),1.15 How Would A Po Help The Members?",,,24,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
62,,All these interventions will result in more income to the primary producers. 1.16  What are other benefits for the members of a PO (other than better income)?,"Farmer Producer Organisations Frequently Asked Questions (Faqs),1.15 How Would A Po Help The Members?",,,27,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
63,, A PO is a collective of farmers (and non-farmers) who are the primary producers of a product (an agricultural produce or a manufactured product).,"Farmer Producer Organisations Frequently Asked Questions (Faqs),1.15 How Would A Po Help The Members?",,,24,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
64,,"It, therefore, can work as a platform to facilitate better access to government services, like PDS, MNREGA, Scholarships and Pensions, etc.","Farmer Producer Organisations Frequently Asked Questions (Faqs),1.15 How Would A Po Help The Members?",,,21,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
65,,"It can liaison with the Government Departments for convergence of programmes, like drinking water, sanitation, health and hygiene. 1.17  Who can become member of a PO?","Farmer Producer Organisations Frequently Asked Questions (Faqs),1.15 How Would A Po Help The Members?",,,26,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
66,," PO is an organization of the producers, specifically the primary producers.","Farmer Producer Organisations Frequently Asked Questions (Faqs),1.15 How Would A Po Help The Members?",,,11,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
67,,"All primary producers residing in the relevant geography, and producing the same or similar produce, for which the PO has been formed, can become member of the PO. Membership is voluntary.","Farmer Producer Organisations Frequently Asked Questions (Faqs),1.15 How Would A Po Help The Members?",,,31,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
68,,The procedure for obtaining PO membership depends on the bye-laws of the PO. The founder-members are those who were there at the time of formation of the PO. Other members join the PO later.,"Farmer Producer Organisations Frequently Asked Questions (Faqs),1.15 How Would A Po Help The Members?",,,34,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
69,,"However, all members enjoy equal rights. A primary producer can become member of a PO by submitting an application and a nominal membership fee. Some POs also charge annual membership renewal fee.","Farmer Producer Organisations Frequently Asked Questions (Faqs),1.15 How Would A Po Help The Members?",,,32,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
70,,"Although primary producers obtain membership of PO voluntarily, the promoting institution should make efforts to bring all producers into the PO, especially the small producers.","Farmer Producer Organisations Frequently Asked Questions (Faqs),1.15 How Would A Po Help The Members?",,,25,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
71,,1.18  Who is a primary producer?   Any person engaged in any activity connected with or related to any primary produce will be treated as producer.,"Farmer Producer Organisations Frequently Asked Questions (Faqs),1.15 How Would A Po Help The Members?",,,25,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
72,,"Primary produce means the produce of farmers from agriculture and allied activities or produce of persons engaged in handloom, handicrafts and other cottage industries, including any by-product and product resulting from ancillary activities thereof.","Farmer Producer Organisations Frequently Asked Questions (Faqs),1.15 How Would A Po Help The Members?",,,34,input/md/english\FARMER PRODUCER ORGANISATIONS.pdf,para,,
